Opponent,Date,Time,Field,Home/Away,Week Number
Chico Islanders,6/20/2025,7:10:00 PM PST,Hooker Oak Park,Home,1
Hignell Hooligans,6/27/2025,6:00:00 PM PST,Hooker Oak Park,Home,2
No Games This Week,7/4/2025,NA,NA,NA,3
Butte Roofing Company,7/11/2025,6:00:00 PM PST,Hooker Oak Park,Away,4
Butte Roofing Company,7/18/2025,8:20:00 PM PST,Hooker Oak Park,Home,5
Bat Habits,7/18/2025,9:30:00 PM PST,Hooker Oak Park,Home,5
Bat Habits,7/25/2025,8:20:00 PM PST,Hooker Oak Park,Away,6
Sticks and Chicks,8/1/2025,8:20:00 PM PST,Hooker Oak Park,Home,7
Bat intentions,8/8/2025,8:20:00 PM PST,Hooker Oak Park,Away,8
Bat intentions,8/15/2025,7:10:00 PM PST,Hooker Oak Park,Away,9
